Time[s], FKF
0.000000000000000, 0
0.000108666666667, 1
0.000109125000000, 0
0.000110166666667, 1
0.000110500000000, 0
0.000111458333333, 1
0.000111791666667, 0
0.000233708333333, 1
0.000234166666667, 0
0.000235208333333, 1
0.000235583333333, 0
0.000236500000000, 1
0.000236875000000, 0
0.000358791666667, 1
0.000359208333333, 0
0.000360250000000, 1
0.000360625000000, 0
0.000361541666667, 1
0.000361916666667, 0
0.000485708333333, 1
0.000486166666667, 0
0.000487208333333, 1
0.000487583333333, 0
0.000488500000000, 1
0.000488875000000, 0
0.000610583333333, 1
0.000611000000000, 0
0.000612041666667, 1
0.000612416666667, 0
0.000613333333333, 1
0.000613708333333, 0
0.000735666666667, 1
0.000736125000000, 0
0.000737166666667, 1
0.000737541666667, 0
0.000738458333333, 1
0.000738833333333, 0
0.000860375000000, 1
0.000860833333333, 0
0.000861875000000, 1
0.000862250000000, 0
0.000863166666667, 1
0.000863541666667, 0
0.000986583333333, 1
0.000987041666667, 0
0.000988041666667, 1
0.000988416666667, 0
0.000989333333333, 1
0.000989708333333, 0
0.001111625000000, 1
0.001112083333333, 0
0.001113125000000, 1
0.001113500000000, 0
0.001114416666667, 1
0.001114791666667, 0
0.001236708333333, 1
0.001237166666667, 0
0.001238208333333, 1
0.001238541666667, 0
0.001239500000000, 1
0.001239833333333, 0
0.001361791666667, 1
0.001362208333333, 0
0.001363250000000, 1
0.001363625000000, 0
0.001364541666667, 1
0.001364916666667, 0
0.001488750000000, 1
0.001489166666667, 0
0.001490208333333, 1
0.001490583333333, 0
0.001491500000000, 1
0.001491875000000, 0
0.001613583333333, 1
0.001614041666667, 0
0.001615083333333, 1
0.001615416666667, 0
0.001616375000000, 1
0.001616750000000, 0
0.001738708333333, 1
0.001739166666667, 0
0.001740208333333, 1
0.001740583333333, 0
0.001741500000000, 1
0.001741875000000, 0
0.001863416666667, 1
0.001863875000000, 0
0.001864916666667, 1
0.001865291666667, 0
0.001866208333333, 1
0.001866583333333, 0
0.001989583333333, 1
0.001990041666667, 0
0.001991041666667, 1
0.001991416666667, 0
0.001992333333333, 1
0.001992708333333, 0
0.002114625000000, 1
0.002115083333333, 0
0.002116125000000, 1
0.002116500000000, 0
0.002117416666667, 1
0.002117791666667, 0
0.002239666666667, 1
0.002240125000000, 0
0.002241125000000, 1
0.002241500000000, 0
0.002242458333333, 1
0.002242791666667, 0
0.002364958333333, 1
0.002365416666667, 0
0.002366458333333, 1
0.002366791666667, 0
0.002367750000000, 1
0.002368083333333, 0
0.002492083333333, 1
0.002492541666667, 0
0.002493583333333, 1
0.002493958333333, 0
0.002494875000000, 1
0.002495250000000, 0
0.002617166666667, 1
0.002617625000000, 0
0.002618666666667, 1
0.002619000000000, 0
0.002619958333333, 1
0.002620291666667, 0
0.002742541666667, 1
0.002742958333333, 0
0.002744000000000, 1
0.002744375000000, 0
0.002745291666667, 1
0.002745666666667, 0
0.002867750000000, 1
0.002868208333333, 0
0.002869250000000, 1
0.002869625000000, 0
0.002870541666667, 1
0.002870916666667, 0
0.002994791666667, 1
0.002995250000000, 0
0.002996291666667, 1
0.002996666666667, 0
0.002997583333333, 1
0.002997958333333, 0
0.003120625000000, 1
0.003121083333333, 0
0.003122083333333, 1
0.003122458333333, 0
0.003123375000000, 1
0.003123750000000, 0
0.003246416666667, 1
0.003246875000000, 0
0.003247916666667, 1
0.003248291666667, 0
0.003249208333333, 1
0.003249583333333, 0
0.003372208333333, 1
0.003372666666667, 0
0.003373708333333, 1
0.003374083333333, 0
0.003375000000000, 1
0.003375375000000, 0
0.003499833333333, 1
0.003500250000000, 0
0.003501291666667, 1
0.003501666666667, 0
0.003502583333333, 1
0.003502958333333, 0
0.003653083333333, 1
0.003653541666667, 0
0.003654583333333, 1
0.003654958333333, 0
0.003655875000000, 1
0.003656250000000, 0
0.003778458333333, 1
0.003778916666667, 0
0.003779958333333, 1
0.003780333333333, 0
0.003781250000000, 1
0.003781625000000, 0
0.003903375000000, 1
0.003903833333333, 0
0.003904875000000, 1
0.003905208333333, 0
0.003906166666667, 1
0.003907666666667, 0
0.004029833333333, 1
0.004030291666667, 0
0.004031333333333, 1
0.004031708333333, 0
0.004032625000000, 1
0.004033000000000, 0
0.004157708333333, 1
0.004158125000000, 0
0.004159166666667, 1
0.004159541666667, 0
0.004160458333333, 1
0.004160833333333, 0
0.004282750000000, 1
0.004283208333333, 0
0.004284250000000, 1
0.004284625000000, 0
0.004285541666667, 1
